,name,PC1,PC2,PC3,PC4,PC5,corDist,description,MaxDist,MeanDist,MaxDist/MeanDist,Gene_Symbol,Pfam,GOBiologicalProcess,SqrtOmega,logNumGOterms,Omega
42,NM_001135651_1,12.16577282,-0.219522053,-5.902907945,-2.468361803,2.930342805,0.151552259,"6361. Homo sapiens eukaryotic translation initiation factor 2 alpha kinase 2 (EIF2AK2), transcript variant 2, mRNA",0.0962718,0.058628739,1.642058184,EIF2AK2,PF00069; PF00035,GO:0009636 [Name: response to toxic substance]; GO:1902036 [Name: regulation of hematopoietic stem cell differentiation]; GO:0006412 [Name: translation]; GO:0009612 [Name: response to mechanical stimulus]; GO:0017148 [Name: negative regulation of translation]; GO:0032874 [Name: positive regulation of stress-activated MAPK cascade]; GO:0043330 [Name: response to exogenous dsRNA]; GO:1900225 [Name: regulation of NLRP3 inflammasome complex assembly]; GO:0006351 [Name: transcription. DNA-templated]; GO:0008285 [Name: negative regulation of cell proliferation]; GO:0009615 [Name: response to virus]; GO:0030968 [Name: endoplasmic reticulum unfolded protein response]; GO:0033197 [Name: response to vitamin E]; GO:0034047 [Name: regulation of protein phosphatase type 2A activity]; GO:1902033 [Name: regulation of hematopoietic stem cell proliferation]; GO:0006468 [Name: protein phosphorylation]; GO:0030683 [Name: evasion or tolerance by virus of host immune response]; GO:0045087 [Name: innate immune response]; GO:1901224 [Name: positive regulation of NIK/NF-kappaB signaling]; GO:0018108 [Name: peptidyl-tyrosine phosphorylation]; GO:0034198 [Name: cellular response to amino acid starvation]; GO:0043065 [Name: positive regulation of apoptotic process]; GO:0046777 [Name: protein autophosphorylation]; GO:0051092 [Name: positive regulation of NF-kappaB transcription factor activity]; GO:0051607 [Name: defense response to virus]; GO:0032722 [Name: positive regulation of chemokine production]; GO:0035455 [Name: response to interferon-alpha]; GO:0001819 [Name: positive regulation of cytokine production]; GO:0010998 [Name: regulation of translational initiation by eIF2 alpha phosphorylation]; GO:0032496 [Name: response to lipopolysaccharide]; GO:0033689 [Name: negative regulation of osteoblast proliferation]; GO:0043066 [Name: negative regulation of apoptotic process]; GO:0000186 [Name: activation of MAPKK activity]; GO:0045071 [Name: negative regulation of viral genome replication]; GO:1901532 [Name: regulation of hematopoietic progenitor cell differentiation],1.142117175,3.583518938,1.304431641
72,NM_001281971_1,14.73738676,1.650093421,-2.666471774,3.633753598,-0.086299373,0.022549214,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.156337,0.105066476,1.487981758,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.142117175,0.693147181,1.304431641
73,NM_001281971_25,13.68899667,0.965885419,-2.759837948,3.142293967,0.180947178,0.034540596,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.156337,0.11064268,1.37830426,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.142117175,0.693147181,1.304431641
74,NM_001281971_34,13.68899667,0.965885419,-2.759837948,3.142293967,0.180947178,0.034540596,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.156337,0.11064268,1.37830426,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.142117175,0.693147181,1.304431641
75,NM_001281971_8,13.68899667,0.965885419,-2.759837948,3.142293967,0.180947178,0.034540596,"15647. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 2 (KIR2DS4*003 allele), mRNA",0.156337,0.11064268,1.37830426,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.142117175,0.693147181,1.304431641
134,NM_006509_1,10.33831287,-1.9907869,-6.352803589,-1.293653545,5.161847806,0.235700528,"30337. Homo sapiens RELB proto-oncogene, NF-kB subunit (RELB), mRNA",0.0401306,0.023980332,1.673479763,RELB,PF00554; PF16180; PF16181; PF16179,GO:0000122 [Name: negative regulation of transcription from RNA polymerase II promoter]; GO:0019882 [Name: antigen processing and presentation]; GO:0032688 [Name: negative regulation of interferon-beta production]; GO:0034097 [Name: response to cytokine]; GO:0032922 [Name: circadian regulation of gene expression]; GO:0006351 [Name: transcription. DNA-templated]; GO:0006954 [Name: inflammatory response]; GO:0045087 [Name: innate immune response]; GO:0043011 [Name: myeloid dendritic cell differentiation]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]; GO:0007249 [Name: I-kappaB kinase/NF-kappaB signaling]; GO:0071470 [Name: cellular response to osmotic stress]; GO:0002223 [Name: stimulatory C-type lectin receptor signaling pathway]; GO:0038061 [Name: NIK/NF-kappaB signaling]; GO:0045063 [Name: T-helper 1 cell differentiation],1.142117175,2.772588722,1.304431641
140,NM_012314_1,14.45005752,1.665391266,-2.213603965,3.882263076,-0.405492882,0.022719184,"31313. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 (KIR2DS4), transcript variant 1, mRNA",0.156337,0.100224143,1.559873655,KIR2DS4,PF00047,GO:0045087 [Name: innate immune response],1.142117175,0.693147181,1.304431641
149,NM_014513_8,15.60797487,1.995568128,-3.62945702,2.368255963,0.494826509,0.040820686,"32067. Homo sapiens killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5 (KIR2DS5), mRNA",0.16046,0.11064268,1.44233601,KIR2DS5,PF00047,GO:0045087 [Name: innate immune response]; GO:0006955 [Name: immune response]; GO:0007165 [Name: signal transduction],1.142117175,1.386294361,1.304431641
169,NM_021822_1,14.11657287,2.019326158,-8.580759432,-3.058365012,2.449942263,0.169097676,"35862. Homo sapiens apolipoprotein B mRNA editing enzyme catalytic subunit 3G (APOBEC3G), mRNA",0.1405,0.087531544,1.605135622,APOBEC3G,PF08210,GO:0016553 [Name: base conversion or substitution editing]; GO:0070383 [Name: DNA cytosine deamination]; GO:0002230 [Name: positive regulation of defense response to virus by host]; GO:0045071 [Name: negative regulation of viral genome replication]; GO:0048525 [Name: negative regulation of viral process]; GO:0009972 [Name: cytidine deamination]; GO:0045869 [Name: negative regulation of single stranded viral RNA replication via double stranded DNA intermediate]; GO:0051607 [Name: defense response to virus]; GO:0010529 [Name: negative regulation of transposition]; GO:0045087 [Name: innate immune response],1.142117175,2.397895273,1.304431641
192,NM_052931_1,9.570979368,-0.56087228,-2.696471514,-0.401562304,2.970698191,0.143853995,"38719. Homo sapiens SLAM family member 6 (SLAMF6), transcript variant 2, mRNA",0.086943,0.054937467,1.582581148,SLAMF6,PF07686,GO:0001779 [Name: natural killer cell differentiation]; GO:0045087 [Name: innate immune response]; GO:0045954 [Name: positive regulation of natural killer cell mediated cytotoxicity]; GO:0072540 [Name: T-helper 17 cell lineage commitment]; GO:0032729 [Name: positive regulation of interferon-gamma production]; GO:0001787 [Name: natural killer cell proliferation]; GO:0050776 [Name: regulation of immune response]; GO:0032740 [Name: positive regulation of interleukin-17 production],1.142117175,2.197224577,1.304431641
